Career,Description,Education_Level,Work_Style,Personality,Key_Skills,Subjects
Data Scientist,"Analyze data to gain insights",Bachelor's,Remote|Team,Analytical,"Python, R, SQL, Machine Learning, Statistics","Math, Computer Science"
Software Engineer,"Develop and maintain software applications",Bachelor's,Remote|Team,Detail-Oriented,"Python, Java, Git, Algorithms, Problem Solving","Computer Science, Engineering"
AI Researcher,"Research and develop AI models",Master's,Team,Innovative,"Python, Deep Learning, PyTorch, TensorFlow, Mathematics","Computer Science, Math"
Digital Marketer,"Promote products using digital channels",Bachelor's,Remote|Solo,Creative,"SEO, SEM, Content Marketing, Google Analytics, Social Media","Marketing, Business"
UX Designer,"Design user interfaces and experiences",Bachelor's,Team,Creative,"Figma, Adobe XD, User Research, Wireframing, Prototyping","Design, HCI"
Civil Engineer,"Plan and oversee construction projects",Bachelor's,Field,Practical,"AutoCAD, Project Management, Surveying, Structural Design, Budgeting","Civil Engineering, Physics"
Doctor,"Provide medical care to patients",MBBS,Hospital,Patient,"Diagnosis, Surgery, Patient Care, Medical Knowledge, Communication","Biology, Medicine"
Teacher,"Educate students in a subject",Bachelor's,Classroom,Empathetic,"Lesson Planning, Classroom Management, Communication, Subject Knowledge, Assessment","Education, Subject Knowledge"
Financial Analyst,"Analyze financial data to guide investments",Bachelor's,Office,Analytical,"Excel, Financial Modeling, Accounting, SQL, Risk Analysis","Finance, Economics"
Mechanical Engineer,"Design and maintain mechanical systems",Bachelor's,Field,Practical,"CAD, MATLAB, Problem Solving, Manufacturing, Thermodynamics","Mechanical Engineering, Physics"
HR Manager,"Manage human resources and employee relations",Master's,Office,Leader,"Recruitment, Employee Relations, Payroll, HR Policies, Communication","Business, Management"
Content Writer,"Create written content for various platforms",Bachelor's,Remote|Solo,Creative,"Writing, SEO, Editing, Research, Storytelling","Language, Communication"
Project Manager,"Plan, execute, and close projects",Bachelor's,Team,Leader,"Project Management, Risk Management, Budgeting, Leadership, Communication","Management, Business"
Web Developer,"Build and maintain websites",Bachelor's,Remote|Team,Detail-Oriented,"HTML, CSS, JavaScript, React, Node.js","Computer Science, IT"
Data Analyst,"Interpret data to inform decisions",Bachelor's,Remote|Team,Analytical,"Excel, SQL, Tableau, Python, Data Visualization","Math, Computer Science"
Graphic Designer,"Create visual concepts",Bachelor's,Team,Creative,"Photoshop, Illustrator, InDesign, Creativity, Typography","Design, Art"
Pharmacist,"Dispense medications and advise patients",PhD,Hospital,Detail-Oriented,"Pharmacology, Drug Safety, Patient Counseling, Inventory, Chemistry","Chemistry, Medicine"
Network Engineer,"Design and manage network systems",Bachelor's,Office,Analytical,"Networking, Cisco, Troubleshooting, Security, Firewalls","Computer Science, IT"
Business Analyst,"Analyze business processes and recommend solutions",Bachelor's,Office,Analytical,"Excel, SQL, Data Analysis, Communication, Problem Solving","Business, Management"
Psychologist,"Study human behavior and provide therapy",Master's,Office,Empathetic,"Counseling, Research, Communication, Assessment, Therapy","Psychology, Social Science"
